,name,model,price,kilometers,transmission,manufactured_date,fuel_type,power,seller
177,Porsche ,991,€ 78.950,97.000 km,Automatisch,09/2012,Benzine,294 kW (400 PK),Autobedrijf
178,Renault ,Koleos,€ 13.950,82.123 km,Manueel,07/2013,Diesel,110 kW (150 PK),Autobedrijf
179,Jaguar ,F-Type,€ 67.800,5.000 km,Automatisch,07/2022,Benzine,221 kW (300 PK),Autobedrijf
180,Opel ,Adam,€ 13.490,82.507 km,Manueel,05/2017,Benzine,110 kW (150 PK),Autobedrijf
181,Mercedes-Benz ,GLA 200,€ 16.999,138.800 km,Manueel,03/2014,Diesel,100 kW (136 PK),Autobedrijf
182,Alfa Romeo ,Giulia,€ 29.750,37.500 km,Automatisch,09/2020,Benzine,147 kW (200 PK),Autobedrijf
183,Audi ,A4,€ 23.499,115.000 km,Automatisch,09/2016,Diesel,110 kW (150 PK),Autobedrijf
184,Volvo ,S60,,29.942 km,Automatisch,12/2019,Elektrisch/Benzine,223 kW (303 PK),Autobedrijf
185,Ford ,S-Max,€ 19.590,90.420 km,Manueel,03/2017,Diesel,110 kW (150 PK),Autobedrijf
186,Land Rover ,Range Rover Sport,€ 181.500,35 km,Automatisch,01/2022,Benzine,423 kW (575 PK),Autobedrijf
187,Jeep ,Compass,€ 18.990,45.151 km,Manueel,01/2018,Benzine,103 kW (140 PK),Autobedrijf
188,Skoda ,Superb,€ 50.999,5 km,Automatisch,,Benzine,110 kW (150 PK),Autobedrijf
189,Mazda ,3,€ 29.958,0 km,Manueel,09/2022,Benzine,137 kW (186 PK),Autobedrijf
190,BMW ,420,€ 20.950,162.459 km,Automatisch,09/2014,Diesel,135 kW (184 PK),Autobedrijf
191,Volkswagen ,T6 Caravelle,€ 39.999,95.700 km,Automatisch,04/2019,Diesel,110 kW (150 PK),Autobedrijf
192,Skoda ,Octavia,€ 10.990,93.000 km,Manueel,01/2015,Benzine,77 kW (105 PK),Autobedrijf
193,Mercedes-Benz ,AMG GT,€ 229.950,5.384 km,Automatisch,02/2021,Benzine,430 kW (585 PK),Autobedrijf
194,BMW ,216,€ 17.490,112.000 km,Manueel,03/2019,Diesel,85 kW (116 PK),Autobedrijf
195,Audi ,A4,€ 23.900,96.000 km,Automatisch,08/2017,Diesel,110 kW (150 PK),Autobedrijf
196,Alfa Romeo ,Stelvio,€ 48.970,,Automatisch,,Benzine,147 kW (200 PK),Autobedrijf
197,BMW ,i4,€ 79.950,30 km,Automatisch,10/2022,Elektrisch,250 kW (340 PK),Autobedrijf
198,BMW ,216,€ 14.950,98.000 km,Manueel,03/2016,Diesel,85 kW (116 PK),Autobedrijf
199,Hyundai ,TUCSON,€ 45.274,0 km,Automatisch,07/2022,Elektrisch/Benzine,169 kW (230 PK),Autobedrijf
200,BMW ,iX3,€ 79.950,500 km,Automatisch,08/2022,Elektrisch,210 kW (286 PK),Autobedrijf
201,Audi ,S5,€ 36.900,116.000 km,Automatisch,09/2016,Benzine,260 kW (354 PK),Autobedrijf
202,Porsche ,991,€ 75.991,139.538 km,Automatisch,07/2013,Benzine,257 kW (349 PK),Autobedrijf
203,BMW ,X5,€ 104.900,100 km,Automatisch,11/2022,Elektrisch/Benzine,290 kW (394 PK),Autobedrijf
204,Volkswagen ,Touareg,€ 29.990,138.340 km,Automatisch,01/2016,Diesel,193 kW (262 PK),Autobedrijf
205,Tesla ,Model 3,€ 45.500,48.300 km,Automatisch,03/2021,Elektrisch,246 kW (334 PK),Autobedrijf
206,MINI ,Cooper S,€ 28.500,12.820 km,Automatisch,08/2020,Benzine,141 kW (192 PK),Autobedrijf
207,BMW ,530,€ 34.990,86.198 km,Automatisch,03/2018,Elektrisch/Benzine,185 kW (252 PK),Autobedrijf
208,Volkswagen ,Golf,€ 10.990,148.000 km,Manueel,01/2015,Diesel,77 kW (105 PK),Autobedrijf
209,Audi ,A1,€ 21.950,38.246 km,Manueel,03/2019,Benzine,85 kW (116 PK),Autobedrijf
210,Volkswagen ,Golf Variant,€ 10.450,128.000 km,Manueel,01/2015,Diesel,77 kW (105 PK),Autobedrijf
211,BMW ,530,€ 30.450,124.899 km,Automatisch,04/2017,Elektrisch/Benzine,185 kW (252 PK),Autobedrijf
212,Mercedes-Benz ,A 220,€ 30.950,65.000 km,Automatisch,02/2019,Benzine,140 kW (190 PK),Autobedrijf
213,Volkswagen ,Golf GTI,€ 11.800,177.000 km,Manueel,03/2011,Benzine,155 kW (211 PK),Autobedrijf
214,Volkswagen ,Golf Variant,€ 13.799,132.300 km,Manueel,01/2018,Diesel,85 kW (116 PK),Autobedrijf
215,Volkswagen ,Golf GTI,€ 19.995,84.000 km,Manueel,04/2014,Benzine,162 kW (220 PK),Autobedrijf
216,BMW ,M3,€ 103.650,,Automatisch,,Benzine,375 kW (510 PK),Autobedrijf
217,MINI ,John Cooper Works,€ 44.950,19.000 km,Automatisch,09/2020,Benzine,225 kW (306 PK),Autobedrijf
218,Alfa Romeo ,Giulietta,€ 13.900,103.407 km,Manueel,10/2017,Benzine,88 kW (120 PK),Autobedrijf
219,Jaguar ,F-Pace,€ 97.200,12.862 km,Automatisch,01/2022,Benzine,405 kW (551 PK),Autobedrijf
220,MINI ,One,€ 11.500,126.431 km,Manueel,10/2017,Benzine,55 kW (75 PK),Autobedrijf
