,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured,name_model,kilometers_bins
232,Alfa Romeo,Giulietta,15500,100243,Automatic,Petrol,Car Company,241,177,2015,11,Alfa Romeo Giulietta,L3
233,Ford,F 150,42900,115000,Automatic,LPG,Car Company,370,272,2016,1,Ford F 150,L4
234,BMW,X3 M,48450,59000,Automatic,Petrol,Car Company,360,265,2018,6,BMW X3 M,L2
235,Mercedes-Benz,GLC 220,32750,118326,Automatic,Diesel,Car Company,163,120,2017,7,Mercedes-Benz GLC 220,L4
236,Porsche,991,184995,22173,Manual,Petrol,Car Company,500,368,2018,5,Porsche 991,L1
237,Land Rover,Range Rover Velar,87500,1600,Automatic,Electric/Petrol,Car Company,404,297,2021,12,Land Rover Range Rover Velar,L1
238,BMW,X2,25990,65000,Automatic,Diesel,Car Company,150,110,2018,6,BMW X2,L2
239,Audi,R8,134950,14890,Automatic,Petrol,Car Company,540,397,2018,6,Audi R8,L1
240,MINI,One,17290,36144,Manual,Petrol,Car Company,102,75,2019,1,MINI One,L2
241,Jaguar,F-Type,77990,0,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar F-Type,L1
242,Mercedes-Benz,CLS 350,44950,116500,Automatic,Diesel,Car Company,286,210,2018,11,Mercedes-Benz CLS 350,L4
243,MINI,Cooper,15490,68000,Manual,Petrol,Car Company,136,100,2017,1,MINI Cooper,L3
244,Jaguar,XJ,21990,111061,Automatic,Diesel,Car Company,275,202,2011,8,Jaguar XJ,L4
245,Mercedes-Benz,C 250,22990,111981,Automatic,Diesel,Car Company,204,150,2015,6,Mercedes-Benz C 250,L4
246,SsangYong,MUSSO,28900,55455,Automatic,Diesel,Car Company,181,133,2020,6,SsangYong MUSSO,L2
247,SsangYong,XLV,14490,60618,Manual,Petrol,Car Company,128,94,2019,1,SsangYong XLV,L2
248,Audi,RS4,69900,57000,Automatic,Petrol,Car Company,450,331,2019,5,Audi RS4,L2
249,Audi,A3,26900,50000,Automatic,Petrol,Car Company,150,110,2019,8,Audi A3,L2
250,BMW,125,26999,69000,Automatic,Petrol,Car Company,224,165,2019,3,BMW 125,L3
251,Mercedes-Benz,E 220,19650,89753,Manual,Diesel,Car Company,170,125,2013,7,Mercedes-Benz E 220,L3
252,BMW,116,15990,118111,Automatic,Diesel,Car Company,116,85,2016,1,BMW 116,L4
253,Volvo,960,9999,146390,Automatic,Petrol,Car Company,204,150,1997,1,Volvo 960,L5
254,Audi,A3,34950,13353,Automatic,Petrol,Car Company,190,140,2020,1,Audi A3,L1
255,MINI,Cooper S Cabrio,28900,33656,Automatic,Petrol,Car Company,192,141,2018,4,MINI Cooper S Cabrio,L2
256,Audi,A4,19599,79000,Manual,Diesel,Car Company,122,90,2017,6,Audi A4,L3
257,Renault,Megane,8995,81105,Manual,Petrol,Car Company,131,96,2011,3,Renault Megane,L3
258,Audi,A3,19500,85830,Manual,Diesel,Car Company,116,85,2019,4,Audi A3,L3
259,Renault,Latitude,9490,123000,Manual,Diesel,Car Company,150,110,2013,1,Renault Latitude,L4
260,BMW,220,23995,56000,Manual,Diesel,Car Company,190,140,2017,10,BMW 220,L2
261,Audi,RS4,64900,102000,Automatic,Petrol,Car Company,450,331,2018,5,Audi RS4,L4
262,Jaguar,F-Type,66500,10,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar F-Type,L1
263,BMW,225,20700,92524,Automatic,Electric/Petrol,Car Company,224,165,2017,5,BMW 225,L3
264,Mercedes-Benz,CLA 180,15750,139000,Manual,Diesel,Car Company,109,80,2016,5,Mercedes-Benz CLA 180,L5
265,Mercedes-Benz,E 300,49890,41812,Automatic,Electric/Diesel,Car Company,194,143,2019,11,Mercedes-Benz E 300,L2
266,BMW,640,36950,102630,Automatic,Diesel,Car Company,313,230,2014,5,BMW 640,L4
267,SEAT,Ateca,18990,93121,Manual,Petrol,Car Company,150,110,2018,5,SEAT Ateca,L3
268,Audi,A5,18100,139195,Manual,Diesel,Car Company,190,140,2015,5,Audi A5,L5
269,Land Rover,Range Rover Sport,179000,3000,Automatic,Petrol,Car Company,575,423,2022,4,Land Rover Range Rover Sport,L1
270,Mercedes-Benz,GLC 220,28500,155890,Automatic,Diesel,Car Company,170,125,2017,7,Mercedes-Benz GLC 220,L5
271,Porsche,911,189900,2000,Automatic,Petrol,Car Company,385,283,2022,6,Porsche 911,L1
